epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
15,82.80018119812011,0.00046329123015975297,0.55,0.55,0.55,0.55,0.55,0.6,0.1,0.55,,0.799275530156344
16,82.56077842712402,0.0004401266686517653,0.51,0.55,0.55,0.51,0.51,0.6,0.1,0.51,,0.8680537776447189
17,82.21238136291504,0.00041812033521917703,0.56,0.55,0.55,0.56,0.56,0.55,0.1,0.56,,0.9517203221196554
18,82.14278106689453,0.00039721431845821814,0.5700000000000001,0.55,0.55,0.5700000000000001,0.5700000000000001,0.55,0.1,0.5700000000000001,,0.8854238600000394
19,81.55876312255859,0.0003773536025353072,0.5900000000000001,0.55,0.55,0.5900000000000001,0.5900000000000001,0.55,0.1,0.5900000000000001,,0.9909510910165232
20,81.27026634216308,0.0003584859224085418,0.5800000000000001,0.55,0.55,0.5800000000000001,0.5800000000000001,0.55,0.1,0.5800000000000001,,0.8887552642475469
21,81.03030128479004,0.0003405616262881147,0.5800000000000001,0.55,0.55,0.5800000000000001,0.5800000000000001,0.55,0.1,0.5800000000000001,,0.9315656125627962
22,80.73074226379394,0.00032353354497370894,0.5900000000000001,0.55,0.55,0.5900000000000001,0.5900000000000001,0.55,0.1,0.5900000000000001,,0.7675676724618179
23,80.49752883911133,0.00030735686772502346,0.6,0.55,0.55,0.6,0.6,0.55,0.1,0.6,,0.932394558519179
24,80.25775413513183,0.00029198902433877225,0.5700000000000001,0.55,0.55,0.5700000000000001,0.5700000000000001,0.6,0.1,0.5700000000000001,,0.9133199511748981
25,80.05780448913575,0.00027738957312183364,0.64,0.55,0.55,0.64,0.64,0.55,0.2,0.64,,1.2901865832868347
26,79.85418586730957,0.0002635200944657419,0.6499999999999999,0.55,0.55,0.6499999999999999,0.6499999999999999,0.4,0.1,0.6499999999999999,,0.9603516007433063
27,79.65880165100097,0.0002503440897424548,0.62,0.6,0.6,0.62,0.62,0.4,0.1,0.62,,0.8294663679749541
28,79.4634937286377,0.00023782688525533205,0.6599999999999999,0.55,0.55,0.6599999999999999,0.6599999999999999,0.4,0.1,0.6599999999999999,,0.8066054526451181
29,79.28117790222169,0.00022593554099256544,0.64,0.6,0.6,0.64,0.64,0.55,0.2,0.64,,0.8910884795774682
30,79.11034545898437,0.00021463876394293716,0.63,0.55,0.55,0.63,0.63,0.55,0.1,0.63,,0.8558628687379628
31,78.96269264221192,0.0002039068257457903,0.64,0.6,0.6,0.64,0.64,0.5,0.1,0.64,,0.8470976726749465
32,78.80954971313477,0.00019371148445850077,0.66,0.55,0.55,0.66,0.66,0.5,0.2,0.66,,0.9755819856382358
33,78.67498741149902,0.00018402591023557573,0.65,0.6,0.6,0.65,0.65,0.55,0.2,0.65,,0.8440843214442015
34,78.53947639465332,0.00017482461472379692,0.64,0.55,0.55,0.64,0.64,0.55,0.1,0.64,,0.998753079038534
35,78.41084175109863,0.00016608338398760707,0.65,0.6,0.6,0.65,0.65,0.55,0.2,0.65,,0.9287799651153987
36,78.28688201904296,0.0001577792147882267,0.64,0.55,0.55,0.64,0.64,0.55,0.1,0.64,,0.8519797701277834
37,78.17273597717285,0.00014989025404881537,0.67,0.6,0.6,0.67,0.67,0.4,0.2,0.67,,0.9432929486096792
38,78.05515937805175,0.00014239574134637458,0.6799999999999999,0.6,0.6,0.6799999999999999,0.6799999999999999,0.45,0.1,0.6799999999999999,,0.8792679688844501
39,77.93559494018555,0.00013527595427905584,0.7,0.6,0.6,0.7,0.7,0.45,0.2,0.7,,0.8538453336791679
40,77.85153579711914,0.00012851215656510304,0.65,0.55,0.55,0.65,0.65,0.55,0.2,0.65,,0.9200758952053176
41,77.75913848876954,0.00012208654873684788,0.65,0.55,0.55,0.65,0.65,0.55,0.2,0.65,,0.9284763896500412
42,77.66360702514649,0.00011598222130000548,0.67,0.6,0.6,0.67,0.67,0.4,0.2,0.67,,0.9495468566869449
43,77.58182373046876,0.00011018311023500519,0.67,0.6,0.6,0.67,0.67,0.4,0.2,0.67,,0.7892301654311589
44,77.49110908508301,0.00010467395472325493,0.65,0.6,0.6,0.65,0.65,0.55,0.2,0.65,,0.8271503443041022
45,77.42386245727539,9.944025698709218e-05,0.64,0.55,0.55,0.64,0.64,0.55,0.1,0.64,,0.9884542110616986
