epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
20,794.2111328125,0.0003584859224085418,0.78,0.6,0.6,0.78,0.78,0.24999999999999997,0.3,0.78,,0.2726036499429601
21,791.6036224365234,0.0003405616262881147,0.78,0.65,0.65,0.78,0.78,0.24999999999999997,0.4,0.78,,0.2776701944484249
22,789.0291259765625,0.00032353354497370894,0.78,0.65,0.65,0.78,0.78,0.24999999999999997,0.4,0.78,,0.4574932251362026
23,786.6283996582031,0.00030735686772502346,0.78,0.65,0.65,0.78,0.78,0.24999999999999997,0.4,0.78,,0.38353792388209385
24,784.2911926269531,0.00029198902433877225,0.77,0.6,0.6,0.77,0.77,0.24999999999999997,0.3,0.77,,0.33205229426932276
25,782.0966705322265,0.00027738957312183364,0.77,0.6,0.6,0.77,0.77,0.24999999999999997,0.3,0.77,,0.3833633650606524
26,780.0752380371093,0.0002635200944657419,0.77,0.6,0.6,0.77,0.77,0.24999999999999997,0.3,0.77,,0.34955774591095196
27,778.0996063232421,0.0002503440897424548,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.3119461019618565
28,776.1850402832031,0.00023782688525533205,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.45078205751347783
29,774.3553771972656,0.00022593554099256544,0.77,0.6,0.6,0.77,0.77,0.24999999999999997,0.3,0.77,,0.33742674743032824
30,772.6728942871093,0.00021463876394293716,0.77,0.65,0.65,0.77,0.77,0.24999999999999997,0.4,0.77,,0.4458913116273451
31,771.0689636230469,0.0002039068257457903,0.75,0.6,0.6,0.75,0.75,0.24999999999999997,0.3,0.75,,0.4622507555877667
32,769.4950805664063,0.00019371148445850077,0.77,0.65,0.65,0.77,0.77,0.24999999999999997,0.4,0.77,,0.6082206475735391
33,767.9860473632813,0.00018402591023557573,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.4396271135562022
34,766.6216613769532,0.00017482461472379692,0.77,0.6,0.6,0.77,0.77,0.24999999999999997,0.3,0.77,,0.46636346015422964
35,765.2659393310547,0.00016608338398760707,0.75,0.6,0.6,0.75,0.75,0.24999999999999997,0.3,0.75,,0.3841760559672194
36,764.0171081542969,0.0001577792147882267,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.4648659393787578
37,762.762646484375,0.00014989025404881537,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.6015572308478129
38,761.6149139404297,0.00014239574134637458,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.626191459512372
39,760.53916015625,0.00013527595427905584,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.6394082335611133
40,759.4630249023437,0.00012851215656510304,0.75,0.6,0.6,0.75,0.75,0.24999999999999997,0.3,0.75,,0.41230817391401603
41,758.4459411621094,0.00012208654873684788,0.77,0.6,0.6,0.77,0.77,0.24999999999999997,0.3,0.77,,0.49169152735830773
42,757.5055847167969,0.00011598222130000548,0.77,0.6,0.6,0.77,0.77,0.24999999999999997,0.3,0.77,,0.613733920274849
43,756.7005401611328,0.00011018311023500519,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.5582006571717133
44,755.8236846923828,0.00010467395472325493,0.75,0.6,0.6,0.75,0.75,0.24999999999999997,0.3,0.75,,0.44739417899790185
45,754.9658447265625,9.944025698709218e-05,0.76,0.6,0.6,0.76,0.76,0.24999999999999997,0.3,0.76,,0.6036673177586572
