epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
32,0.08810060694813729,0.00019371148445850077,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.8498856895041121
33,0.08805351965129375,0.00018402591023557573,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.6514215326257964
34,0.09022165276110172,0.00017482461472379692,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.7131935749292069
35,0.08810465149581433,0.00016608338398760707,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.5718724240825563
36,0.08812086693942547,0.0001577792147882267,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.665796774973817
37,0.08795395344495774,0.00014989025404881537,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.8598693996473832
38,0.08786026686429978,0.00014239574134637458,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.8766738802318623
39,0.08769149892032146,0.00013527595427905584,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.9208344391845887
40,0.0876077052205801,0.00012851215656510304,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.5563307978509482
41,0.0877031184732914,0.00012208654873684788,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.6578879800925573
42,0.08767125830054283,0.00011598222130000548,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.8344752661768466
43,0.08757565952837468,0.00011018311023500519,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.7428335141068187
44,0.08769421316683293,0.00010467395472325493,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.5879112317639463
45,0.08764394670724869,9.944025698709218e-05,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.7876425640683027
46,0.08768915645778179,9.446824413773756e-05,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.6926838007842859
47,0.08758324794471264,8.974483193085068e-05,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.775322859247995
48,0.08760562129318714,8.525759033430814e-05,0.74,0.65,0.65,0.74,0.74,0.45,0.4,0.74,,0.8884903613005911
