epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
27,0.2956293046474457,0.0002503440897424548,0.61,0.55,0.55,0.61,0.61,0.45,0.1,0.61,,1.6207854856465678
28,0.2949112206697464,0.00023782688525533205,0.63,0.55,0.55,0.63,0.63,0.55,0.1,0.63,,2.037511966405015
29,0.29497910290956497,0.00022593554099256544,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,1.662924041221583
30,0.2945280492305756,0.00021463876394293716,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7878689000279055
31,0.29452630281448366,0.0002039068257457903,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,2.0784918987416456
32,0.2944693207740784,0.00019371148445850077,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,2.2278785559261918
33,0.2943396121263504,0.00018402591023557573,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,2.019704307088154
34,0.2942906439304352,0.00017482461472379692,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.6894626736703013
35,0.29405194371938703,0.00016608338398760707,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.6096311245071253
36,0.2940727427601814,0.0001577792147882267,0.6000000000000001,0.55,0.55,0.6000000000000001,0.6000000000000001,0.55,0.1,0.6000000000000001,,1.8966966523758604
37,0.29412945061922074,0.00014989025404881537,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.0599510686239655
38,0.2942131072282791,0.00014239574134637458,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,1.9516648528234524
39,0.29392741322517396,0.00013527595427905584,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,2.244477781092911
40,0.293867239356041,0.00012851215656510304,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.5211293851483987
41,0.2938679903745651,0.00012208654873684788,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.6608169668873756
42,0.2938176289200783,0.00011598222130000548,0.6000000000000001,0.55,0.55,0.6000000000000001,0.6000000000000001,0.55,0.1,0.6000000000000001,,2.1122708264438255
43,0.29357216507196426,0.00011018311023500519,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.04549916007195
44,0.2936881557106972,0.00010467395472325493,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.8517641995183578
45,0.2935782462358475,9.944025698709218e-05,0.6000000000000001,0.55,0.55,0.6000000000000001,0.6000000000000001,0.55,0.1,0.6000000000000001,,2.2674486256432487
46,0.2935480087995529,9.446824413773756e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.8465766998521636
47,0.29367985129356383,8.974483193085068e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.015521586235716
