detector,mode,dataset,class_name,shape,method,path,frames,detected,clips,clips_complete,clips_empty,box_width_px,clip_jitter,seconds_per_frame
mtcnn,train,CelebDFv3,fake,square,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id20_id2_0008.mp4,32,32,4,4,0,144.0,0.004778669184565031,0.016781367361545563
retinaface,train,CelebDFv3,fake,square,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id20_id2_0008.mp4,32,32,4,4,0,138.75,0.00385548281962857,0.028520047664642334
haar,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id27_id20_0009.mp4,32,32,4,4,0,163.0,0.011361267555236396,0.007346987724304199
mtcnn,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id27_id20_0009.mp4,32,32,4,4,0,131.25,0.007166921871322131,0.004944011569023132
retinaface,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id27_id20_0009.mp4,32,32,4,4,0,131.0,0.004338688786695534,0.01590527594089508
haar,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id5_0008_test_id01333_gujKn7v2CJg.mp4,32,32,4,4,0,140.75,0.015225174991996875,0.007890626788139343
mtcnn,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id5_0008_test_id01333_gujKn7v2CJg.mp4,32,32,4,4,0,121.75,0.014361671729272558,0.0049144551157951355
retinaface,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id5_0008_test_id01333_gujKn7v2CJg.mp4,32,32,4,4,0,122.25,0.013836990112542597,0.015310831367969513
haar,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id49_0003_test_id07802_MtoFAMWjUxM.mp4,32,32,4,4,0,167.5,0.023486650316704154,0.007244378328323364
mtcnn,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id49_0003_test_id07802_MtoFAMWjUxM.mp4,32,32,4,4,0,129.25,0.01904107219753579,0.005148269236087799
retinaface,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id49_0003_test_id07802_MtoFAMWjUxM.mp4,32,32,4,4,0,127.75,0.01880029667270692,0.015446677803993225
haar,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id38_id20_0005.mp4,32,32,4,4,0,153.75,0.0050866677012790865,0.00906827300786972
mtcnn,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id38_id20_0005.mp4,32,32,4,4,0,125.25,0.007168285447230581,0.004268452525138855
retinaface,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id38_id20_0005.mp4,32,32,4,4,0,123.0,0.002441206485228754,0.015645794570446014
haar,train,CelebDFv3,fake,square,FaceSwap/SimSwap,FAKE/FaceSwap/SimSwap/id3_id16_0006.mp4,32,32,4,4,0,159.5,0.007115635626644261,0.01393582671880722
mtcnn,train,CelebDFv3,fake,square,FaceSwap/SimSwap,FAKE/FaceSwap/SimSwap/id3_id16_0006.mp4,32,32,4,4,0,130.25,0.004969888459737343,0.009228944778442383
retinaface,train,CelebDFv3,fake,square,FaceSwap/SimSwap,FAKE/FaceSwap/SimSwap/id3_id16_0006.mp4,32,32,4,4,0,131.5,0.005165298290889674,0.025320619344711304
haar,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id3_0001_test_id04232_ROWN2ssXek8.mp4,32,32,4,4,0,158.75,0.008254366900875498,0.009293340146541595
mtcnn,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id3_0001_test_id04232_ROWN2ssXek8.mp4,32,32,4,4,0,137.0,0.015265463308453912,0.005369976162910461
retinaface,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id3_0001_test_id04232_ROWN2ssXek8.mp4,32,32,4,4,0,135.0,0.004758520018550842,0.016323506832122803
haar,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id4_id28_0002.mp4,32,6,4,0,3,139.0,0.012127562506638774,0.005447298288345337
mtcnn,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id4_id28_0002.mp4,32,32,4,4,0,123.25,0.004512168087138183,0.005127228796482086
retinaface,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id4_id28_0002.mp4,32,32,4,4,0,123.0,0.0026416804041017377,0.01731979101896286
haar,train,CelebDFv3,fake,square,TalkingFace/EchoMimic,FAKE/TalkingFace/EchoMimic/id6_0009_test_id05176_SLPR1rH8LYg.mp4,32,32,4,4,0,318.5,0.006705627440330439,0.014629565179347992
mtcnn,train,CelebDFv3,fake,square,TalkingFace/EchoMimic,FAKE/TalkingFace/EchoMimic/id6_0009_test_id05176_SLPR1rH8LYg.mp4,32,32,4,4,0,266.25,0.00790369372245364,0.0073943957686424255
retinaface,train,CelebDFv3,fake,square,TalkingFace/EchoMimic,FAKE/TalkingFace/EchoMimic/id6_0009_test_id05176_SLPR1rH8LYg.mp4,32,32,4,4,0,254.25,0.002928561130338268,0.023573726415634155
haar,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id9_0002_test_id03347_JbbZ8at5OF8.mp4,32,32,4,4,0,170.25,0.01798734935460456,0.009124703705310822
mtcnn,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id9_0002_test_id03347_JbbZ8at5OF8.mp4,32,32,4,4,0,138.5,0.017221552176762918,0.005968719720840454
retinaface,train,CelebDFv3,fake,square,TalkingFace/IP_LAP,FAKE/TalkingFace/IP_LAP/id9_0002_test_id03347_JbbZ8at5OF8.mp4,32,32,4,4,0,135.75,0.01376798369830183,0.015685848891735077
haar,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id20_0008_test_id01437_jrXvutBWU8k.mp4,32,32,4,4,0,174.0,0.004239627818681388,0.012459821999073029
mtcnn,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id20_0008_test_id01437_jrXvutBWU8k.mp4,32,32,4,4,0,139.25,0.005015909365552416,0.00623447448015213
retinaface,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id20_0008_test_id01437_jrXvutBWU8k.mp4,32,32,4,4,0,146.25,0.0044087440964235575,0.01532202959060669
haar,train,CelebDFv3,fake,square,FaceReenact/FSRT,FAKE/FaceReenact/FSRT/id13_id10_0003.mp4,32,30,4,3,0,154.0,0.0227946961500215,0.0063814446330070496
mtcnn,train,CelebDFv3,fake,square,FaceReenact/FSRT,FAKE/FaceReenact/FSRT/id13_id10_0003.mp4,32,32,4,4,0,137.5,0.054992615359480385,0.004011854529380798
retinaface,train,CelebDFv3,fake,square,FaceReenact/FSRT,FAKE/FaceReenact/FSRT/id13_id10_0003.mp4,32,32,4,4,0,128.75,0.030603596520409414,0.01644686609506607
haar,train,CelebDFv3,fake,square,TalkingFace/Real3DPortrait,FAKE/TalkingFace/Real3DPortrait/id6_0005_test_id00866_It2TvTOz9y4.mp4,32,32,4,4,0,305.0,0.01202830376689087,0.01128976047039032
mtcnn,train,CelebDFv3,fake,square,TalkingFace/Real3DPortrait,FAKE/TalkingFace/Real3DPortrait/id6_0005_test_id00866_It2TvTOz9y4.mp4,32,32,4,4,0,263.25,0.011841318837663444,0.008052311837673187
retinaface,train,CelebDFv3,fake,square,TalkingFace/Real3DPortrait,FAKE/TalkingFace/Real3DPortrait/id6_0005_test_id00866_It2TvTOz9y4.mp4,32,32,4,4,0,265.5,0.011302518434264004,0.023981913924217224
haar,train,CelebDFv3,fake,square,TalkingFace/EDTalk,FAKE/TalkingFace/EDTalk/id46_0002_test_id02286_B3_GpoLIZpU.mp4,32,32,4,4,0,158.0,0.011692650997868967,0.007826179265975952
mtcnn,train,CelebDFv3,fake,square,TalkingFace/EDTalk,FAKE/TalkingFace/EDTalk/id46_0002_test_id02286_B3_GpoLIZpU.mp4,32,32,4,4,0,123.5,0.012078461434443622,0.00446135550737381
