epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
19,874.3651489257812,3.7735360253530726e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8837592599630377
20,874.2920288085937,3.584859224085419e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8317061680407365
21,874.3991088867188,3.405616262881148e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8287498798655463
22,874.3293884277343,3.2353354497370904e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8659340728472443
23,874.3493194580078,3.0735686772502355e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8531953142404908
24,874.2986846923828,2.9198902433877236e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.7793114074151569
25,874.2831604003907,2.7738957312183373e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.7897060811854123
26,874.3891418457031,2.6352009446574204e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8373657155082385
27,874.3762390136719,2.5034408974245492e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.7541405828470232
28,874.32705078125,2.3782688525533216e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7457645832441463
29,874.3212066650391,2.2593554099256555e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7221135532261317
30,874.2784271240234,2.1463876394293726e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7857183925622778
31,874.3404998779297,2.039068257457904e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7613801309506043
32,874.3394500732422,1.9371148445850086e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.8128136376303252
33,874.306689453125,1.840259102355758e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7544990662071457
34,874.3672027587891,1.74824614723797e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7938205747207016
35,874.3457580566406,1.6608338398760715e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7426691820277325
36,874.3845855712891,1.5777921478822678e-05,0.7100000000000001,0.7,0.7,0.7100000000000001,0.7100000000000001,0.45,0.4,0.7100000000000001,,0.7478882088755104
37,874.3102630615234,1.4989025404881544e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.8059989704165286
38,874.3242004394531,1.4239574134637466e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.763102794215392
39,874.3288818359375,1.3527595427905592e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7669122000468782
40,874.2383758544922,1.2851215656510312e-05,0.7000000000000001,0.7,0.7,0.7000000000000001,0.7000000000000001,0.45,0.4,0.7000000000000001,,0.7240275747071943
